package	version	installed
biomaRt	2.68.0	TRUE
boot	1.3.32	TRUE
clusterProfiler	4.20.0	TRUE
coloc	5.2.3	TRUE
cowplot	1.2.0	TRUE
data.table	1.18.4	TRUE
DESeq2	1.52.0	TRUE
DiagrammeR	NOT_INSTALLED	FALSE
DiagrammeRsvg	NOT_INSTALLED	FALSE
digest	0.6.39	TRUE
dplyr	1.2.1	TRUE
edgeR	NOT_INSTALLED	FALSE
enrichplot	1.32.0	TRUE
estimate	NOT_INSTALLED	FALSE
fgsea	NOT_INSTALLED	FALSE
flextable	0.10.0	TRUE
ggplot2	4.0.3	TRUE
GSVA	NOT_INSTALLED	FALSE
ieugwasr	1.1.0	TRUE
limma	NOT_INSTALLED	FALSE
logistf	1.26.1	TRUE
Matrix	1.7.5	TRUE
officer	0.7.5	TRUE
openxlsx	NOT_INSTALLED	FALSE
org.Hs.eg.db	3.23.1	TRUE
patchwork	1.3.2	TRUE
png	0.1.9	TRUE
preprocessCore	NOT_INSTALLED	FALSE
pROC	NOT_INSTALLED	FALSE
readr	2.2.0	TRUE
readxl	1.5.0	TRUE
rsvg	NOT_INSTALLED	FALSE
scales	1.4.0	TRUE
Seurat	5.5.0	TRUE
SeuratObject	5.4.0	TRUE
survival	3.8.6	TRUE
tidyr	1.3.2	TRUE
tiff	0.1.12	TRUE
TwoSampleMR	NOT_INSTALLED	FALSE
tximport	1.40.0	TRUE
